baseapplication,bytes,configuration,event_functions,file,functions,global_variables,productversion,root_time,sha256,top_level_tasks,zones
,170594,Swing XL Isynth,0,config20260529.app,2,5,2.47.1.1,2026-06-08T18:25:32+09:00,9b14930f05a2dbba1b90a33ba520cc6755236f1a9ae30e1a77809982ddd60f18,14,82
,172912,Swing XL Isynth,0,config20260609.app,2,5,2.47.1.1,2026-06-23T17:28:03+09:00,3bbf27feafd03fb650b475a1c0786c06b6eb21221d787e1545f6aa65ffffae36,17,82
,37906,Swing XL Isynth,0,config20260609_temp.app,0,5,2.47.1.1,2026-06-09T18:54:08+09:00,92ac195062d74cbc34fe8800a119f7c995f5555073b88edcf8327a1be3ae707e,1,82
,172912,Swing XL Isynth,0,config20260623.app,2,5,2.47.1.1,2026-06-23T17:28:38+09:00,cac8d4066eaaed7ef814e47ce8c2f43cc5b687fc34f02ccc8a50d72c11e93018,17,82
,173043,Swing XL Isynth,0,config20260706.app,2,5,2.47.1.1,2026-07-15T13:26:42+09:00,9462cea35641594e4820d913d737c1a95b44a7ee00f637623838de7473c50953,20,83
,173489,Swing XL Isynth,0,config20260715.app,2,5,2.47.1.1,2026-07-15T13:48:56+09:00,fd5e4fdaf3e4fe6c1572908cac9829be3e1e9aca066b3d40bde2ccb60ac76e5b,21,84
,181771,Swing XL Isynth,0,config20260715_polymerization.app,2,5,2.47.1.1,2026-07-15T17:18:42+09:00,9c71376c2ebf1870c95398766532974f06514498e101f371bc9ad19bb0eb11f7,18,92
,85345,Swing XL Isynth,0,config20260716_congif_changed.app,3,5,2.47.1.1,2026-07-18T18:38:41+09:00,75deb577cb55dd0c7aa289790c591157bccb3342e77af72b3553f7ca1f3cd4df,16,90
,82674,Swing XL Isynth,0,config20260716_congif_changed_2_tmp.app,3,5,2.47.1.1,2026-07-16T19:46:16+09:00,3f2179961af8e3dec356522a055f0d2fd774038c29cadfb3186c0f9cbf4628f8,16,90
,54586,Swing XL Isynth,0,config20260717.app,3,5,2.47.1.1,2026-07-18T18:29:19+09:00,19cab3e437479e317ff2b6d481f3876acf1951497cf22c55345e7ba0412713aa,9,62
,82641,Swing XL Isynth,0,config20260717_test_AMR_settings.app,3,5,2.47.1.1,2026-07-17T14:09:54+09:00,fbe2d4c246d9e69d409583f0b0c462ed96cdac1d2313c1bd2e34caec04930733,16,90
,57441,Swing XL Isynth,0,config20260718.app,3,5,2.47.1.1,2026-07-19T03:58:39+09:00,806d8a4217cb273b28e03fc168751e27a2c2d156f0d01cb605d25717fab30841,9,62
,60159,Swing XL Isynth,0,config20260720.app,4,5,2.47.1.1,2026-07-21T17:11:47+09:00,b6a1f035613a6212fd674b357a7923c0cedcab189ae0b8c8a138f32cf1dd7361,10,62
,60170,Swing XL Isynth,0,config20260721.app,4,5,2.47.1.1,2026-07-21T17:13:15+09:00,84e2df1da9f5d0b26f6254a301bc23329d76a4e1a61cae55228b6e35fb140439,10,62
,62271,Swing XL Isynth,0,config20260722.app,4,5,2.47.1.1,2026-07-23T11:16:23+09:00,109ab637394d9db141fc5fd34e3a3377720b2daf925c65132023a77824751ac9,13,65
,62267,Swing XL Isynth,0,config20260723_GPC_fixed.app,4,5,2.47.1.1,2026-07-23T15:38:46+09:00,177bf0368520a8b8809d5e1de4b65e4c4c7182df91cf560aca89446e0c537293,11,65
,68731,Swing XL Isynth,0,config20260724.app,6,5,2.47.1.1,2026-07-27T09:48:46+09:00,fd766bff126448a192c85f43724a3456830ffa3cb0611e1ae7291414ef98ca97,51,72
,69005,Swing XL Isynth,2,config20260727.app,11,5,2.47.1.1,2026-07-28T17:08:11+09:00,88b8f87ffc98b5f6fcbbfd1645b8ea39969e69ecf0928636bd553e7a2880a82e,18,75
,70882,Swing XL Isynth,2,config20260728.app,12,5,2.47.1.1,2026-07-29T09:12:58+09:00,35f617a4d66e4586360f2996653172d3680c2013b7651fffb7c31cebc408bd34,17,75
,71578,Swing XL Isynth,2,config20260729.app,12,5,2.47.1.1,2026-07-29T12:20:35+09:00,c8102be54f188e4f44a835458a9490947c09ddccbc536a79b9761db8d4d515aa,17,75
,72031,Swing XL Isynth,2,config20260730.app,12,5,2.47.1.1,2026-07-30T10:23:14+09:00,1c8b00f2a61b760a7acbd8a68acaa5ae0c314b244cba61276aff5d49bb206875,17,81
