name,id,wells,attributes
DEMO1,{85C96621-4AD2-4D82-8044-11251525F659},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
DEMO_Pfd1,{353428F6-07BF-438C-A05C-9ADAD24F7B27},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
analytic GPC port,{738268FC-E2AE-4DF3-AAEC-FC5656288FAC},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
valve ports E #3,{A10193D8-47FC-45E4-BFC2-538DAB09EC8F},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth all,{A2EA2900-5D9F-4C9B-9537-EDFB3146DBE3},144,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
valve ports F #2,{5FAB464C-61CF-448E-A741-79831AF37F61},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
valve ports F,{3BE56B57-C632-4454-9702-D14C2C8F41BE},4,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""-1"", ""enumerationScheme"": ""0"", ""elementEnumerationScheme"": ""0"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth1 all,{CDB2F30A-100B-40C2-9293-653B1CCD2B35},48,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Waste 1 #1 #2,{73854A9D-1E34-4F7C-A756-E6A9B3A058E9},2,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
SOLV_Toluene,{3C982B92-D7E7-40D5-BFDC-F210E8AFE532},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
INIT_AIBN,{40771892-5CA2-428E-AE95-4AF6FB09AE18},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
MONO_MMA,{EF92639B-FD33-46CE-B915-39DEF6ADC99F},1,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Sampling1-1,{6FC8CE56-0479-4226-A59C-82AB737ECC45},12,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""0"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Sampling1-2,{9C46F20E-B3B3-44FB-B9D1-8496708FF520},12,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""0"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Sampling1-3,{5F15BBF7-08B3-46B3-9F0A-53DBE1461AF0},12,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""0"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
Sampling1-4,{9851F322-13CF-4E32-B0B7-AA1CDAC14127},12,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""0"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth2 all,{DBEE02CB-E3A7-420B-9124-547E54BE5D97},48,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
isynth3 all,{7D4956BE-2104-4538-8D50-B28D0B5AE139},48,"{""typeid"": ""Chemspeed.SAZone.1"", ""virtualVial"": ""0"", ""readOnly"": ""0"", ""enumerationScheme"": ""1"", ""elementEnumerationScheme"": ""1"", ""enumerationType"": ""0"", ""isvisible"": ""-1""}"
